,icpsr,id,name,state_abbrev,V1,party_code,rollcallvote_id,chamber,congress,date,rollnumber,description
83,20919,MS11420919,"CASSIDY, Bill",LA,6,200,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
84,20923,MS11420923,"PETERS, Gary C.",MI,6,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
85,20930,MS11420930,"HEINRICH, Martin",NM,6,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
86,94659,MS11494659,"SHELBY, Richard C.",AL,1,200,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
87,40902,MS11440902,"RISCH, James",ID,1,200,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
88,40904,MS11440904,"FRANKEN, Al",MN,1,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
89,40906,MS11440906,"SHAHEEN, Jeanne",NH,1,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
90,40908,MS11440908,"MERKLEY, Jeff",OR,1,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
91,40909,MS11440909,"WARNER, Mark",VA,6,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
92,40910,MS11440910,"BENNET, Michael F.",CO,1,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
93,40915,MS11440915,"MANCHIN, Joe, III",WV,6,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
94,40916,MS11440916,"COONS, Christopher A.",DE,6,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
95,29142,MS11429142,"REED, John F. (Jack)",RI,6,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
96,29147,MS11429147,"SANDERS, Bernard",VT,6,328,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
97,14307,MS11414307,"LEAHY, Patrick Joseph",VT,6,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
98,15015,MS11415015,"CARPER, Thomas Richard",DE,6,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
99,40703,MS11440703,"CASEY, Robert (Bob), Jr.",PA,6,100,RS1140245,Senate,114,2015-07-16,245,To amend the allocation of funds under subpart 2 of part A of title I of the Elementary and Secondary Education Act of 1965.
